,,,,,,,,,,,,,,,,,Dalam ribuan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEBEK ,DP ,Bayar ,ANGSURAN ,,,,,,,MATIC ,DP ,Bayar ,ANGSURAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,24,30,36,40,48,,,,,12,24,30,36,40,48,,,,,,,,,,,,,,,,,,,,,,,,,
,REVO FIT,1.950,1.450,1.955,1.157,1.005,880,871,796 ,,BEAT SPORTY CBS,2.150,850,2.150,1.275,1.108,966,962,881 ,,,,,,,,,,,,,,,,,,,,,,,,,
,19.200.000,2.000,1.500,1.950,1.154,1.002,878,868,795,,21.270.000,2.200,900,2.145,1.272,1.106,964,960,879,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.100,1.600,1.940,1.148,997,874,864,791,,,2.300,1.000,2.135,1.266,1.101,959,955,875,,,,,,,,,,,,,,,,,,,,,,,,,
,REVO X,2.100,1.600,2.113,1.251,1.086,952,941,861 ,,BEAT SPORTY ISS DELUXE,2.250,950,2.221,1.317,1.145,998,994,910 ,,,,,,,,,,,,,,,,,,,,,,,,,
,20.910.000,2.200,1.700,2.103,1.245,1.081,947,937,857 ,,22.070.000,2.300,1.000,2.216,1.314,1.143,996,991,908,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.300,1.800,2.093,1.239,1.076,943,933,853,,,2.400,1.100,2.206,1.309,1.137,992,987,904,,,,,,,,,,,,,,,,,,,,,,,,,
,SUPRA X 125 D ,2.300,1.800,2.255,1.335,1.159,1.016,1.005,919 ,,BEAT ISS DX SMARTKEY,2.300,1.000,2.277,1.351,1.174,1.023,1.019,933 ,,,,,,,,,,,,,,,,,,,,,,,,,
,22.510.000,2.400,1.900,2.245,1.329,1.154,1.012,1.000,915,,22.670.000,2.400,1.100,2.267,1.345,1.169,1.019,1.014,929 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.500,2.000,2.235,1.323,1.149,1.007,996,911,,,2.500,1.200,2.257,1.339,1.164,1.014,1.010,925,,,,,,,,,,,,,,,,,,,,,,,,,
,SUPRA X 125 CW ,2.400,1.900,2.368,1.402,1.217,1.067,1.055,965 ,,NEW BEAT STREET,2.250,950,2.226,1.320,1.148,1.000,996,912 ,,,,,,,,,,,,,,,,,,,,,,,,,
,23.720.000,2.500,2.000,2.358,1.396,1.212,1.062,1.051,961,,22.120.000,2.300,1.000,2.221,1.317,1.145,998,994,910 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.600,2.100,2.348,1.390,1.207,1.058,1.046,957,,,2.400,1.100,2.211,1.312,1.140,994,989,906,,,,,,,,,,,,,,,,,,,,,,,,,
,SUPRA GTR - Sporty,2.850,1.350,2.799,1.658,1.440,1.262,1.248,1.142 ,,GENIO CBS,2.250,950,2.235,1.326,1.152,1.005,1.000,916 ,,,,,,,,,,,,,,,,,,,,BeAT POP - CW,#REF!,#REF!,#REF!,#REF!,#REF!
,28.430.000,2.900,1.400,2.794,1.655,1.437,1.259,1.246,1.140,,22.210.000,2.300,1.000,2.230,1.323,1.150,1.002,998,914,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.000,1.500,2.784,1.649,1.432,1.255,1.241,1.136,,,2.400,1.100,2.220,1.317,1.145,998,993,910,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,SUPRA GTR - Exc,2.900 ,1.400 ,2.820 ,1.670 ,1.450 ,1.271 ,1.257 ,1.150 ,,GENIO CBS SPC COLOR,2.250,950,2.262,1.341,1.166,1.016,1.012,927 ,,,,,,,,,,,,,,,,,,,,BeAT POP - CBS,#REF!,#REF!,#REF!,#REF!,#REF!
,28.680.000,3.000 ,1.500 ,2.810 ,1.664 ,1.445 ,1.266 ,1.253 ,1.146 ,,22.470.000,2.300,1.000,2.257,1.339,1.163,1.014,1.010,925,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.100 ,1.600 ,2.800 ,1.658 ,1.440 ,1.262 ,1.248 ,1.142 ,,,2.400,1.100,2.247,1.333,1.158,1.010,1.005,921,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,SPORT ,DP ,Bayar ,ANGSURAN ,,,,,,,GENIO CBS ISS,2.300,1.000,2.287,1.357,1.179,1.028,1.023,937 ,,,,,,,,,,,,,,,,,,,,BeAT POP - ISS,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,12,24,30,36,40,48,,22.770.000,2.400,1.100,2.277,1.351,1.174,1.023,1.019,933 ,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,SONIC,3.000,1.200,2.925,1.732,1.504,1.352,1.304,1.193 ,,,2.500,1.200,2.267,1.345,1.169,1.019,1.015,929,,,,,,,,,,,,,,,,,,,,,,,,,
,29.820.000,3.100,1.300,2.915,1.726,1.499,1.348,1.300,1.189,,SCOOPY - STD,2.550,1.250,2.524,1.497,1.301,1.142,1.130,1.034 ,,,900,,,,,,,,,,,,,,,,,,,,,,
,,3.200,1.400,2.905,1.720,1.494,1.343,1.295,1.185,,25.350.000,2.600,1.300,2.519,1.494,1.299,1.139,1.127,1.032 ,,,900,,,,,,,,,,,,,,,,,,,,,,
